geocell_id,country,num_points,centroid_lat,centroid_lon
1309,Peru,60,-11.444119491189516,-75.43235194875756
1310,Peru,65,-4.915519222015283,-75.68785596346466
1311,Peru,73,-6.5621850996596125,-78.81462807233694
1312,Peru,89,-4.895299275602277,-80.64746456363261
1313,Peru,81,-15.578877165954388,-70.02214299753358
1314,Peru,118,-16.279680396662055,-72.6196188905437
1315,Peru,53,-14.476786940293602,-75.94238770811248
1316,Peru,114,-11.920456986239817,-76.83053126989893
1317,Peru,72,-9.466119280043284,-77.89061251034735
1318,Philippines,56,7.711827982142857,125.44767210714284
1319,Philippines,43,7.92659631870847,123.09829266542012
1320,Philippines,42,13.976439071428572,122.05491564285714
1321,Philippines,48,13.439410040244582,123.44952054257408
1322,Philippines,42,14.047585738095238,121.06100164285714
1323,Philippines,33,14.77447241735724,121.03037834824396
1324,Philippines,52,15.292376335902263,120.7804418013518
1325,Philippines,34,15.45624376278406,120.31705489828616
1326,Philippines,35,16.02745047326028,120.29002028515858
1327,Philippines,43,17.069180724279533,120.62598413196253
1328,Philippines,49,18.078962885644664,121.22089884869963
1329,Philippines,5,9.133403,125.1408822
1330,Philippines,43,9.954794819986413,118.68391304775932
1331,Philippines,8,9.1728495,123.37869425
1332,Philippines,32,9.85375571875,124.23838859375
1333,Philippines,10,10.578067765583953,122.42809738091172
1334,Philippines,72,10.116018690796206,123.0279642533102
1335,Philippines,38,10.409670787142288,123.74440080498483
1336,Philippines,54,11.190991434650504,122.49356430898794
1337,Philippines,7,12.374506428571427,122.07567457142856
1338,Philippines,19,12.243484684210523,123.6712214736842
1339,Philippines,23,12.931265273536903,121.01402351379824
1340,Philippines,4,13.38601175,122.20610725
1341,Philippines,34,8.15256806807282,126.17315789308412
1342,Philippines,8,13.793410125,124.242621
1343,Philippines,42,7.758621255967935,124.67058766414006
1344,Philippines,52,6.255353832171001,124.96989718406716
1345,Philippines,37,10.771413015679585,124.9040478689033
1346,Philippines,29,11.990930936255513,125.00244868008588
1347,Philippines,5,11.431635,124.1399382
1348,Philippines,63,16.448706761159986,121.5523895924843
1349,Pitcairn Is.,5,-24.70702004364599,-128.75529962514383
1350,Poland,70,50.29562515462962,19.001184921922206
1351,Poland,84,49.81239000068818,20.34003825637072
1352,Poland,68,54.227549462299805,18.127484388838734
1353,Poland,128,52.32356064666073,21.05184677473661
1354,Poland,73,51.50365934905963,19.377593264116825
1355,Poland,74,52.94689633512055,18.55995053893962
1356,Poland,124,52.27564682932757,17.23704212103781
1357,Poland,39,50.73265505819608,20.80830990168037
1358,Poland,72,50.02599044778165,22.241972493529595
1359,Poland,86,50.99611931979743,16.358206295794425
1360,Poland,31,50.58804371233667,17.985735022187352
1361,Poland,64,53.27801380091501,22.79582088219116
1362,Poland,62,53.79790973032773,20.731322826040905
1363,Poland,36,52.25151262623321,15.322258029201077
1364,Poland,70,53.64390631491786,15.71729099581971
1365,Poland,69,51.28595119508097,22.815498895629453
1366,Portugal,65,38.87916488363928,-7.764417094369179
1367,Portugal,40,41.83959279065285,-8.686500356212305
1368,Portugal,56,39.01727833778415,-9.3073239324461
1369,Portugal,82,39.30414429630235,-8.48383118820265
1370,Portugal,79,39.749924487088855,-8.81392283309702
1371,Portugal,61,40.21617161015028,-8.351677475634318
1372,Portugal,67,40.744798282168354,-8.593189962334517
1373,Portugal,56,41.23352982032284,-8.37482143210505
1374,Portugal,11,32.73682053538992,-16.971395897474505
1375,Portugal,15,38.111452666666665,-26.048959866666667
1376,Portugal,81,40.82234201890896,-7.869628277542857
1377,Portugal,61,39.94796939712807,-7.552008383450469
1378,Portugal,56,40.650188651263726,-7.275317178566778
1379,Portugal,51,41.54430364533327,-6.885355652409035
1380,Portugal,46,41.559205739130434,-7.600655456521739
1381,Portugal,52,41.54002463115536,-8.33129159013252
1382,Portugal,71,37.14404613529942,-8.26939484144228
1383,Portugal,62,37.78949190550641,-8.015577777368263
1384,Portugal,48,38.21830933039624,-8.910137424644086
1385,Puerto Rico,103,18.39744695145631,-66.63113139805826
1386,Puerto Rico,215,18.270676990697677,-65.88583808372093
1387,Puerto Rico,141,18.06660140425532,-67.02352969503546
1388,Puerto Rico,95,18.05949370526316,-66.61996658947369
1389,Puerto Rico,184,18.366191010869567,-66.24554350543478
1390,Puerto Rico,158,18.088178379746832,-66.15176266455695
1391,Puerto Rico,102,18.34663156862745,-67.10178928431372
1392,Qatar,129,25.20696281395349,51.42194068992248
1393,Qatar,186,25.407224193548387,51.23575247311828
1394,Qatar,109,25.118351788990825,51.04682021100918
1395,Qatar,141,25.09038320567376,51.51676396453901
1396,Qatar,86,25.29542323255814,51.51512241860465
1397,Qatar,104,25.49532266346154,51.45226923076923
1398,Qatar,126,25.74738373672376,51.394233421062935
1399,Qatar,63,26.00733863492064,51.25374280952381
1400,Qatar,56,25.449213482142856,51.358453875
1401,Romania,42,47.44312045622591,22.996155588157634
1402,Romania,36,46.28452457184736,21.65686928321258
1403,Romania,37,45.13625886247685,21.964019690167227
1404,Romania,30,47.84501046429365,26.721425108322315
1405,Romania,32,47.17442605523525,27.270932601516893
1406,Romania,42,46.19770007899701,27.76756752881881
1407,Romania,35,47.53916102489921,25.78322410463545
1408,Romania,31,47.61945602362601,23.808464373731063
1409,Romania,38,44.92937046942368,28.790937533966268
1410,Romania,34,46.76338074721853,23.58627657987783
1411,Romania,49,46.83478350787788,24.550020540755614
1412,Romania,55,45.04782582070467,24.506930509081844
1413,Romania,39,46.93110910824923,22.209715875174226
1414,Romania,34,45.76466626470589,22.942959470588235
1415,Romania,48,45.45377742094839,25.70267612619898
1416,Romania,55,45.58315001007601,26.64638711219388
1417,Romania,75,46.06340192958237,23.78799304648813
1418,Romania,52,46.72990400829663,25.949973666013623
1419,Romania,30,46.39519974078637,26.86977640113081
1420,Romania,33,44.87676846781675,27.4028876224966
1421,Romania,44,45.78920364831664,21.306772966565426
1422,Romania,39,44.84546470379963,23.204944040879845
1423,Romania,31,44.15059632547885,23.629097698506133
1424,Romania,40,44.40023879541245,26.55237257323367
1425,Romania,47,44.20702090885684,24.882922418621572
1426,Romania,33,44.56325513131739,25.74186983953196
1427,Romania,32,44.27264930148348,28.292110481666064
1428,Russia,42,50.96470891798276,86.74273901776398
1429,Russia,30,57.21514053428286,29.11509550000678
1430,Russia,68,52.0852104904772,35.47138838664011
1431,Russia,34,50.89327232130252,40.24360888690177
1432,Russia,51,47.81184543549371,41.23067514984989
1433,Russia,93,52.85499298704153,108.27825235592228
1434,Russia,35,51.35981648750308,93.7629914310587
1435,Russia,35,51.28187801462168,113.243419519256
1436,Russia,63,48.22924610875232,132.20615876166107
1437,Russia,51,57.46375428375279,68.62001467705495
1438,Russia,58,54.93978461396188,62.80608784373924
1439,Russia,58,55.59978097807022,73.46371020537312
1440,Russia,53,45.01784029892152,39.4753444396219
1441,Russia,40,54.97301882209401,79.9263627972462
1442,Russia,67,52.7237686606424,82.81175656267003
1443,Russia,34,52.71966808669434,52.45911242508686
1444,Russia,43,51.69945880745322,46.29558396590538
1445,Russia,48,46.779472794916536,46.09586135973012
1446,Russia,45,49.72346051986285,44.29843045342989
1447,Russia,9,44.499703295893,35.816808767248745
1448,Russia,34,58.42601988288608,154.2484929592517
1449,Russia,22,48.80252292807968,142.64974264494643
1450,Russia,149,66.51754985048663,74.07877823843563
1451,Russia,39,43.50316338280138,44.02367092066244
1452,Russia,40,64.29856453360426,53.54220433587501
